label;meanSVMAcc;meanXAcc;meanYAcc;meanZAcc;maxSVMAcc;maxXAcc;maxYAcc;maxZAcc;minSVMAcc;minXAcc;minYAcc;minZAcc;stdSVMAcc;stdXAcc;stdYAcc;stdZAcc;meanPeak
0;327.59;318.33;-27.341;-19.623;565.64;559.53;49.298;64.053;136.78;129.94;-134.91;-273.04;109.96;104.03;47.543;92.032;565.64
0;357.45;337.83;1.0189;-60.118;570.23;565.66;131.89;99.835;42.337;14.873;-116.92;-279.84;141.06;144.71;71.474;107.35;551.75
0;363.8;346.22;21.939;-39.589;564.82;577.04;133.32;85.484;104.76;81.817;-103.03;-286.13;134.77;139.2;63.918;109.76;562.56
0;307.09;297.1;11.928;-30.017;578.12;589.2;138.47;47.139;129.16;90.071;-90.112;-236.06;127.76;131.95;64.104;80.54;578.12
0;368.73;354.59;9.627;-47.869;564.69;561.02;105.62;105.72;83.423;84.98;-96.931;-281.25;131.17;131.23;54.549;106.16;553.03
0;311;302.94;18.905;-0.56571;557.24;586.67;129.06;62.221;73.83;77.261;-68.883;-176.79;118.2;120.37;52.323;72.188;557.24
0;381.75;370.88;2.6974;-20.928;540.59;563.57;90.141;98.282;151.94;107.01;-102.01;-245.58;117.74;124.26;49.852;108.42;530.6
0;309.08;301.55;8.7726;-17.443;530.11;557.59;110.55;74.777;121.34;123.24;-105.37;-200.91;111.05;113.44;57.399;75.975;530.11
0;366;356.67;5.6017;-30.082;524.22;535.94;73.086;94.056;103.45;124.9;-107.2;-240.91;113.8;112.72;47.092;95.673;523.24
0;327.81;320.38;1.9631;-2.7699;540.74;559.66;101.89;99.841;90.972;104.53;-90.551;-257.85;117.85;120.77;50.976;86.889;484.86
1;437.87;377.29;-15.333;9.3455;1034.8;1243.1;179.91;326.09;76.56;-113.29;-179.44;-216.31;291.76;381.91;83.726;151.47;966.06
1;412.54;341.6;26.05;-7.9604;978.02;1187.4;212.6;260.66;81.485;-88.452;-118.4;-226.83;308.47;395.44;72.835;128.57;955.91
1;366.38;306.79;27.547;-70.942;1054;1241.4;124.89;54.445;49.31;-160.3;-51.387;-424.66;283.25;367;38.157;121.52;1054
1;344.6;336.94;-13.866;18.763;830.72;828.69;94.549;217.15;51.229;-9.2954;-115.51;-91.884;211.34;226.74;47.723;75.138;830.72
1;443.58;400.36;21.899;-107.44;898.18;1009.7;122.49;41.718;94.806;-90.542;-144.3;-358.05;252.68;323.15;59.835;100.72;817.65
1;430.06;335.58;12.513;-70.95;981.85;1159.6;140.95;107.28;85.311;-186.96;-126.31;-215.64;268.73;414.15;73.478;81.934;879.8
1;413.42;347.93;86.239;-133.14;737.88;845.15;298.62;-21.862;75.631;22.609;-148.49;-255.14;175.12;237.69;112.66;58.795;728.03
1;426.57;381.45;14.073;-142.37;859.74;950.43;161.51;34.852;102.43;-87.623;-124.59;-313.54;222.76;281.14;72.312;80.589;798.72
1;387.41;299.69;2.6525;-55.342;932.17;1080.1;178.42;112.39;75.115;-230.45;-109.42;-222.49;265.78;382.41;72.747;81.294;922
1;413.59;397.3;42.107;-57.798;820.88;951.89;213.73;106.1;92.058;-15.493;-177.99;-236.71;209.3;265.7;94.024;81.859;746.46
2;556.97;519.9;14.295;-57.171;1542.8;1696.6;49.367;64.531;30.152;-206.65;-10.483;-271.45;523.02;613.06;14.828;82.447;1494.9
2;358.02;276.17;13.702;-40.061;1571.5;1714.4;41.396;59.636;22.286;-236.84;-12.118;-172.89;461.15;544.61;14.081;64.105;1571.5
2;337.26;278.75;11.238;-35.752;1540.9;1675.3;70.546;51.432;20.444;-260.4;-27.199;-193.87;469.05;530.84;25.491;68.96;1540.9
2;591.99;557.37;28.795;-55.017;1570.9;1711.7;110.41;42.443;19.471;-229.36;-21.784;-147.93;556.7;645.36;34.442;60.612;1567.1
2;346.56;252.5;23.33;-28.132;1609.1;1766.7;154.05;48.725;13.761;-260.54;-19.137;-166.7;468.9;556.6;43.204;57;1609.1
2;366.05;321.77;4.7269;-13.131;1532.2;1703;51.859;43.84;18.922;-222;-38.226;-88.965;446.3;519.85;21.258;40.978;1532.2
2;471.17;434.18;4.4011;-34.881;1313.4;1482.5;66.635;61.419;34.743;-263.32;-22.754;-141.06;419.72;518.3;19.619;60.245;1230.5
1;398.36;379.48;16.198;13.153;831.85;822.36;166.78;289.71;50.289;30.352;-87.446;-126.87;255.13;278.35;69.04;108.62;781.49
1;438.68;379.36;21.243;-125.11;895.86;1022.8;168.93;66.051;95.174;-87.943;-189.55;-337.4;229.07;307.17;87.803;99.363;783.69
0;357.95;348.94;-0.029243;-52.777;554.14;574.11;82.561;80.202;119.67;150.48;-100.14;-193.86;103.41;103.41;49.655;86.066;554.14
0;314.39;301.23;-19.647;-23.207;521.61;544.03;99.757;106.73;60.907;85.2;-111.95;-227.73;116.48;116.22;50.921;86.674;521.61
0;354.83;344.89;15.245;-19.607;546.08;552.29;132.6;106.65;118.18;137.7;-90.204;-209.37;113.27;116.44;56.729;91.623;530.6
0;307.69;303.39;12.589;-15.073;520.34;527.83;99.229;37.756;107.11;115.83;-89.568;-193.43;115.6;117.28;51.392;67.538;520.34
0;370.61;360.7;-0.45597;-35.416;543.36;560.52;82.835;83.919;122.85;146;-96.662;-236.22;114.86;112.54;51.75;97.409;540.71
0;332.83;334.46;-23.787;35.67;452.03;455.3;4.2642;84.732;121.52;169.1;-75.621;-32.058;64.48;56.894;22.009;27.243;452.03
0;352.44;355;-10.415;41.242;442.2;448.9;21.803;92.057;163.43;199.05;-46.759;-50.266;55.072;50.69;16.099;34.001;424.07
0;342.19;346.11;-27.778;18.79;430.14;438.72;6.6719;83.782;128.84;191.53;-66.835;-43.646;52.838;43.656;15.52;32.472;430.14
0;339.33;342.7;-15.186;33.881;426.11;431.62;15.706;78.312;117.34;161.79;-45.673;-0.1064;56.513;48.622;17.976;18.833;403.56
0;350.35;352.04;-21.073;21.224;452.7;479.46;7.375;103.05;115.61;156.47;-61.481;-78.711;51.906;48.95;18.552;49.848;415.1
0;345.59;345.8;-29.686;21.674;428.01;431.68;-10.815;105.42;134.17;191.98;-65.303;-91.32;61.198;51.977;14.765;55.905;428.01
0;358.3;360.01;-37.255;9.2235;464.1;464.74;5.0389;78.279;134.98;168.97;-85.626;-97.695;69.054;68.015;19.614;46.327;454.34
0;356.91;360.18;21.493;7.0746;480.66;484.39;47.279;111.08;140.46;181.93;-40.231;-100.57;69.665;71.066;23.65;50.959;447.26
0;330.51;331.25;20.546;29.691;469.52;477.99;64.175;95.965;113.26;153.44;-7.4173;-66.587;81.999;77.101;17.78;37.555;469.52
0;362;365.32;22.828;-7.3724;435.92;455.55;67.647;87.939;157.74;195.71;-11.292;-73.616;53.843;49.927;21.473;40.263;420.64
0;345.58;346.15;35.191;2.2945;434.75;464.72;80.016;53.743;82.613;112.83;-38.076;-43.738;72.495;69.154;36.182;24.469;406.07
0;342.23;344.65;14.226;10.24;487.15;495.24;41.446;71.842;135.8;158.83;-12.286;-115.88;75.375;71.437;16.07;44.06;487.15
0;359.18;363.27;5.4144;3.1233;460.61;483.45;55.607;78.586;140.1;206.82;-38.31;-113.2;72.332;71.224;23.934;48.696;460.4
0;332.88;336.43;7.4736;14.994;451.71;461.58;48.576;58.999;116.27;161.82;-54.045;-57.098;69.713;63.084;27.093;29.196;451.71
0;343.46;343.98;29.832;33.58;468.59;484.07;66.045;98.867;122.86;167.78;-0.99416;-67.375;66.895;62.619;18.624;37.419;468.59
0;362.8;365.4;17.729;16.513;477.65;480.13;60.116;98.235;133.68;164.2;-30.101;-106.63;74.779;74.226;21.124;47.788;468.98
0;337.11;339.36;23.301;11.603;469.36;472.98;65.908;77.942;90.449;125.53;-37.974;-67.426;76.394;74.49;25.083;35.715;424.23
0;348.37;350.45;30.824;13.564;488.85;501.89;66.036;78.775;144.04;171.42;3.2637;-93.525;70.01;66.599;16.479;39.259;488.85
1;439.77;351.78;24.85;-102.11;770.45;801.95;298.11;148.39;182.68;-236.45;-202.14;-369.26;186.76;290.1;130.09;126.44;731.22
1;443.33;297.67;-10.365;-92.651;910.07;1006.1;341.56;252.19;124.44;-348.16;-208.27;-332.41;229.6;362;119.13;156.24;829.25
1;451.49;328.77;17.382;-88.246;912.88;1029.1;260.79;319.02;144.69;-219.48;-165.24;-398.82;225.48;352.06;96.11;191.62;823.46
1;452.12;353.79;-5.1637;-24.4;979.2;1137;256.16;362.65;148.72;-184.41;-126.38;-367.98;256.16;359.57;84.018;204.88;960.75
1;395.93;303.98;0.73981;-30.995;1018.7;1179.6;213.76;339.67;32.988;-139.02;-139.01;-294.69;303.3;387.05;75.461;171.4;998.58
1;474.94;372.54;7.7735;-44.18;1029.4;1217.7;214.56;359.29;100.78;-248.73;-159.5;-262.65;282.01;428.71;83.374;177.09;923.94
1;412.76;341.81;44.891;-78.195;864.1;1002.5;240.06;132.38;56.213;-175.57;-114.74;-205.59;254.27;362.38;85.309;76.195;829.76
1;433.56;403.43;49.729;-101.33;861.6;888.02;169.63;71.589;105.17;-15.621;-46.443;-221.77;218.13;266.3;48.939;67.217;807.97
1;341.54;278.68;13.036;-106.59;824.21;873.23;122.23;28.361;44.77;-111.17;-163.82;-248.96;250.81;315.09;72.026;65.96;802.23
1;463.22;411.23;-2.4941;-48.558;980.83;1168.8;159.79;137.33;115.21;-161.25;-145.63;-190.91;289.77;402.81;79.048;79.073;926.09
1;365.98;358.72;-29.091;-15.957;638.52;713.65;54.242;101.31;120.93;93.937;-158.73;-102.35;138.57;164.21;44.404;63.888;612.23
1;396.58;333.4;52.653;-75.792;841.46;907.73;209.61;37.252;35.017;-141.84;-135.29;-167.86;246.8;319.34;97.049;47.007;770.12
1;448.04;401.03;-22.647;-107.07;853.02;953.83;116.44;6.2678;115.62;-128.79;-112.46;-359.95;246.38;327.84;61.115;90.52;812.06
1;389.45;316.58;-2.2779;-15.107;906.67;1026.1;158.13;193.54;38.819;-178.11;-172.2;-163.5;254.32;347.78;77.639;89.636;855.68
2;419.56;310.43;3.8834;-85.96;1288.3;1422.7;100.37;86.468;23.477;-318.25;-78.767;-366.31;426.14;513.82;40.352;112.6;1288.3
2;496.24;390.54;-11.4;-136.66;1256.4;1361.2;111.03;80.344;54.091;-466.64;-136.39;-489.35;404.96;534.3;51.826;133.44;1256.4
2;471.85;367.63;14.787;-41.479;1222.2;1422;263.94;446.43;54.23;-401.35;-97.403;-261.94;360.16;480.72;76.713;155.84;1111.5
2;432.25;351.47;-6.192;-93.328;1351.8;1494.9;143.96;122.12;46.394;-197.74;-172.25;-397.41;422.36;513.93;62.894;125.68;1351.8
2;397.26;272.41;-6.6189;-76.503;1443.5;1571;77.076;84.293;53.231;-444.41;-140.2;-446.15;433.86;528.57;48.348;127.8;1443.5
2;388.33;273.75;-4.5081;-71.743;1367.9;1550.1;84.615;141.4;10.026;-443.91;-64.035;-368.37;430.77;523.83;32.811;118.76;1367.9
2;392.18;290.67;-3.7862;-63.342;1324.8;1498.7;69.452;135.01;33.346;-354.19;-109.49;-395.42;403.26;496.67;38.03;121.21;1324.8
2;491;399.7;13.162;-114.18;1334.4;1522.3;107.54;162.85;50.617;-383.47;-81.444;-616.51;430.19;555.88;42.245;190.52;1279.1
0;347.78;351.04;22.554;-6.5248;389.3;394.67;58.937;35.928;130.88;184.56;-5.652;-59.308;48.299;37.065;20.696;33.282;384.52
0;348.91;351.92;-21.027;24.468;412.12;418.24;31.184;70.999;108.63;143.26;-51.047;-55.245;53.264;45.253;22.434;28.535;391.13
0;341.8;344.95;-16.567;19.383;446.9;451.46;22.137;66.162;107.93;148.45;-65.353;-32.956;61.573;56.306;27.678;27.045;446.9
0;340.6;342.64;-10.298;31.625;461.87;469.92;25.319;85.7;127.62;178.33;-39.857;-67.975;65.491;59.421;19.168;35.099;461.87
0;355.19;356.2;-26.272;52.322;436.54;440.84;16.116;116.96;163.21;227.57;-64.513;-15.721;51.201;47.052;19.561;32.796;428.51
0;341.59;343.05;-14.02;39.095;453.94;460.17;10.581;118.66;117.36;172.36;-59.365;-36.302;60.73;51.471;18.241;41.679;453.94
0;338.16;340.53;-18.491;28.176;478.44;480.36;12.545;105.39;104.87;147.51;-39.231;-76.161;75.459;69.626;12.543;40.045;478.44
0;343.85;344.61;-27.522;38.172;446.93;451.19;13.848;102;135.72;184;-73.798;-43.606;63.437;57.822;22.068;33.69;446.93
2;321.35;279.17;2.7009;-6.0339;878.71;903.38;30.253;61.878;6.0335;-190.7;-28.946;-170.71;284.36;343.76;14.461;49.969;878.71
2;415.02;371.38;19.355;-42.102;1056;1117.9;57.183;34.598;23.181;-242.41;-4.2592;-161.81;291.52;358;16.454;50.279;1056
1;417.74;383.97;9.3732;-55.171;987.11;1037;109.01;190.46;27.656;-67.435;-167.47;-331.55;267.79;318.46;69.963;122.26;987.11
1;392.14;324.42;-1.6583;-103.94;910.49;1036.1;146.89;12.183;82.065;-117.76;-168.63;-310.43;247.29;342.27;82.933;80.357;861.53
1;453.88;414.66;46.767;-78.777;907.53;960.57;338.28;113.05;67.478;-71.888;-80.67;-257.32;255.58;320.77;105.71;93.875;839.63
2;337.79;276.77;9.5985;-30.297;1564.7;1704.3;62.328;66.8;12.211;-226.2;-38.729;-179.43;465.22;530.17;25.556;79.499;1564.7
2;563.48;516.83;28.876;-87.259;1590.9;1764.9;114.73;44.938;34.835;-227.6;-14.111;-274.35;534.51;624.39;36.302;96.583;1547.7
2;325.33;253.98;7.0759;-20.101;1448.8;1582.4;38.135;44.765;15.62;-205.84;-39.886;-92.892;434.98;507.09;16.542;42.3;1448.8
2;425.48;395.85;0.25819;-59.823;1463.4;1612.7;36.8;35.477;10.678;-181.63;-25.533;-249.17;458.2;538.33;16.252;80.282;1463.4
2;407.48;340.24;15.919;-60.008;1489.2;1653;97.025;44.081;26.318;-204.11;-35.35;-232.66;432.91;532.21;27.855;68.534;1489.2
0;317.8;308.48;5.4356;1.0449;516.7;530.25;130.38;74.615;117.09;133.25;-107.03;-232.32;112.62;112.77;57.749;84.596;516.7
0;344.99;333.35;-3.2956;-43.664;536.66;535.37;116.71;93.385;67.98;76.209;-108.55;-252.79;109.95;107.77;51.043;100.57;504.36
0;338.25;331.75;19.577;1.4514;554.28;591.67;106.53;103.49;110.27;112.74;-70.964;-204.08;98.525;102.93;51.32;79.404;554.28
0;348.2;336.91;10.263;-40.655;541.67;590.89;134.82;81.367;99.492;108.23;-121.32;-214.76;94.124;97.074;64.777;89.227;541.67
0;331.45;329.91;3.5777;5.3384;504.45;524.49;79.673;84.779;120.62;135.72;-56.634;-169.3;73.433;77.778;26.759;65.075;504.45
0;343.25;341.94;-30.009;51.9;446.88;454.86;-0.98336;84.412;107.93;149.18;-77.632;-16.82;61.772;53.783;21.388;31.867;446.88
0;344.03;345.46;-28.813;35.028;458.66;462.65;11.774;96.645;145.22;193.76;-57.886;-63.466;61.151;55.109;18.564;36.17;458.66
0;351.78;352.83;-38.352;24.923;449.17;446.03;20.841;101.67;110.81;150.48;-87.19;-81.847;64.649;61.639;24.594;42.563;437.73
0;334.17;335.64;-26.011;37.439;455.52;459.96;2.8328;81.817;107.18;149.3;-68.4;-25.359;65.495;59.808;20.857;28.143;455.52
0;350.85;352.16;-14.929;40.89;457.44;455.17;13.923;101.19;156.78;187.29;-47.3;-83.399;61.754;57.309;17.867;41.114;424.13
0;347.15;350.11;-29.664;26.275;463.32;467.02;17.573;93.857;137.31;201.39;-77.448;-57.959;60.995;57.135;19.528;38.234;463.32
2;317.84;270.7;8.2717;-29.714;1485.2;1649.6;67.664;44.772;26.132;-209.9;-18.413;-175.58;441.98;497.91;19.64;63.822;1485.2
2;500.04;466.24;16.682;-32.919;1447.1;1592.2;55.598;59.635;30.622;-214.79;-9.8097;-134.91;442.58;518.89;21.282;57.487;1447.1
2;357.99;306.94;19.564;-17.424;998.11;1056;73.546;78.698;7.2;-245.5;-43.933;-137.9;305.27;362.28;25.703;60.378;998.11
2;566.81;529.08;37.064;-61.882;1589.9;1763;149.23;48.764;23.817;-219.72;-11.447;-201.16;545.57;635.29;43.218;69.006;1571.3
2;326.72;253.24;13.042;-38.531;1490.3;1636.6;44.295;49.114;21.281;-214.82;-14.126;-185.24;440.5;511.29;17.548;68.825;1490.3
2;405.05;368.87;6.0916;-41.985;1543.5;1715;49.448;35.705;18.971;-214.64;-14.541;-152.77;457.49;541.63;15.064;57.201;1543.5
2;414.71;355.46;9.1744;-56.544;1530.2;1706.4;110.46;31.313;27.111;-189.62;-44.837;-242.98;453.14;560.38;33.391;69.746;1530.2
2;316.72;269.99;9.1888;-49.647;1495.2;1662.6;51.387;44.207;34.375;-200.92;-11.323;-278.05;437.64;488.48;16.433;97.033;1495.2
2;554.05;518.2;16.11;-69.594;1562.6;1723.4;72.611;49.901;23.183;-209.35;-19.734;-240.23;540.5;633.49;26.496;73.297;1539
0;336.17;338.94;-16.524;14.463;456.26;465;10.179;74.74;92.147;127.9;-72.42;-61.522;72.922;69.248;21.771;34.29;456.26
0;340.04;342.16;-8.7801;24.577;466.99;467.99;14.873;85.635;130.18;167.22;-42.651;-82.609;72.75;67.936;18.017;39.376;466.99
0;357.14;361.26;-10.04;-17.425;453.59;465.07;26.734;102.05;148.79;204.18;-44.135;-72.45;51.518;48.344;19.616;40.659;431.74
0;361.32;353;-1.0853;-53.88;554.14;574.11;82.561;80.202;126.72;150.48;-100.14;-193.86;102.97;103.19;49.422;86.087;554.14
0;315.57;302.22;-17.284;-23.871;521.61;544.03;112.47;106.73;60.03;76.883;-111.95;-227.73;114.61;114.95;54.104;86.486;521.61
0;350.97;341.97;14.764;-15.87;546.08;552.29;132.6;106.66;111.77;129.62;-90.204;-193.94;112.67;116.47;56.634;88.451;526.49
0;309.1;304.28;13.59;-18.07;520.34;527.83;99.229;37.756;99.021;115.83;-89.568;-193.43;117.08;118.51;51.153;68.55;520.34
0;371.38;361.48;-2.2242;-34.316;543.36;560.52;82.835;84.03;132.85;146;-97.132;-236.22;114.18;111.75;52.096;98.063;540.71
0;313.47;303.53;6.614;-0.99463;516.7;530.25;143.11;71.747;129.62;148.5;-107.03;-232.32;112.25;111.12;60.1;83.568;516.7
0;351.39;340.5;-1.9781;-43.272;536.66;535.37;116.71;93.385;79.161;85.953;-108.24;-252.79;109.29;108.45;50.856;100.14;513.45
0;332.83;325.98;17.829;3.0113;554.28;591.67;106.53;107.53;95.906;98.166;-71.305;-204.08;99.636;102.82;50.697;80.124;554.28
0;352.58;341.6;9.6589;-43.434;541.67;590.89;128.2;81.367;110.67;119.71;-121.32;-217.39;93.682;96.932;63.143;90.728;493.77
0;328.91;327.19;5.025;4.6156;504.45;524.49;79.673;83.127;114.28;127.28;-56.634;-169.3;75.101;79.476;27.241;64.436;504.45
0;344.39;343.08;-29.676;52.775;446.88;454.86;-0.98336;84.412;107.48;148.12;-77.632;-16.82;61.043;53.158;21.363;32.034;446.88
0;342.49;343.66;-29.359;34.745;458.66;462.65;11.774;96.645;139.24;187.78;-57.886;-63.466;62.352;56.01;18.768;36.214;458.66
0;353.95;354.89;-39.145;25.664;449.17;447;10.319;101.67;112.7;147.36;-87.19;-81.888;64.741;62.368;23.08;43.311;441.97
