label,maxSVMAcc,maxXAcc,minXAcc,stdSVMAcc,stdXAcc,meanPeak
0,446.88,454.86,149,60.581,52.168,413.21
0,458.66,462.65,150.14,67.771,60.433,458.66
0,449.33,450.03,192.54,58.024,54.661,423.71
0,455.52,459.96,194.26,57.758,54.249,431.54
0,457.44,455.17,164.19,70.362,63.265,457.44
0,449.73,454.96,197.71,59.435,57.869,443.88
0,452.03,455.3,164.9,58.352,52.883,452.03
0,442.2,448.9,159.58,66.038,58.663,442.2
0,449.7,459.11,205.81,53.8,48.353,421.95
0,426.11,431.62,141.39,57.581,50.722,396.1
0,389.21,394.67,175.81,45.044,36.027,378.75
0,380.1,383.61,204.36,41.434,31.06,376.98
0,446.9,451.46,140.71,61.497,58.192,422.44
0,461.87,469.92,152.08,67.034,60.796,461.87
0,436.74,440.84,171.23,59.281,51.387,436.74
0,443.32,446.18,214.63,50.863,45.958,415.92
0,478.44,480.36,202.04,66.396,62.536,478.44
0,446.93,451.19,162.57,69.392,61.948,446.93
0,461.87,480.55,168.57,56.566,50.117,461.87
0,428.01,431.68,142.14,65.476,55.635,390.95
0,445.77,450.99,180.17,63.414,57.026,445.77
0,456.25,465,165.15,69.603,68.005,454.76
0,466.99,467.99,145.8,75.986,71.531,466.99
0,454.76,465.07,170.28,63.752,56.166,454.76
0,419,422.93,163.12,53.562,46.633,396.98
0,491.85,501.88,159.69,80.969,75.603,491.85
0,505.3,520.14,163.62,82.315,83.86,480.77
0,467.19,476.07,119.16,83.278,81.159,421.39
0,474.52,477.75,172.39,71.466,70.66,440.05
0,497.75,505.56,184.33,74.417,77.302,457.69
0,472.81,480.64,151.57,82.713,79.695,472.81
0,478.22,479.84,167.29,70.568,70.905,459.08
0,422.86,436.51,176.4,46.927,43.077,411.62
0,440.98,454.04,208.58,51.84,45.902,440.98
0,471.32,482.86,228.94,67.363,68.214,463.39
0,479.06,486.41,162.48,89.569,83.838,479.06
0,487.11,489.59,147.35,86.9,87.823,479.9
0,460.05,466.49,131.56,85.158,83.196,460.05
0,492.52,499.93,188.7,79.332,80.236,476.63
0,469.52,477.99,137.67,74.189,72.061,435.6
0,435.92,455.55,154.97,68.698,61.925,435.92
0,434.75,440.23,172.44,59.061,51.799,428.05
0,487.15,495.24,142.13,81.248,79.729,487.15
0,473.37,485.28,177.56,72.235,71.831,443.34
0,451.71,461.58,168.83,61.265,59.541,425.27
0,468.59,484.07,148.43,73.761,68.106,468.59
0,460.91,465.72,192.71,65.735,60.245,460.91
0,469.36,478.89,175.74,74.185,73.154,468.64
0,488.85,501.89,154.95,75.24,71.815,488.85
1,830.72,828.69,-3.8077,239.22,267.88,794.38
1,898.58,1097.3,-181.83,267.21,380.73,854.27
1,866.76,995.92,-186.96,229.19,346.56,838.14
1,737.88,761.94,38.571,153.12,197.69,687.55
1,867.53,1044.4,-87.623,254.18,339.21,821.7
1,911.83,1040.4,-230.45,272.87,373.55,908.71
1,806.49,948.29,42.74,208.27,234.07,780.36
1,824.93,822.34,45.964,229.36,263.3,758.06
1,895.9,1022.8,-175.19,242.36,364.1,805.9
1,841.84,980.47,-31.782,217.85,275.83,813.39
1,861.6,888.02,-16.799,238.54,290.57,809.83
1,874.47,1000.3,-111.17,254.28,341.4,849.34
1,984.85,1169.4,-145.23,267.71,358.54,955.5
1,944.4,1030.9,-66.057,207.76,257.19,944.4
1,720.56,757.34,-63.843,212.82,252.31,713.33
1,910.49,1036.1,-148.35,261.77,368.4,850.39
1,907.55,958.63,-30.96,238.65,298.37,840.11
1,841.46,907.73,-141.84,231.65,306.66,791.36
1,853.14,981.97,-128.79,259.37,370.98,831.68
2,1211.8,1441.3,-190.7,356.13,437.87,1211.8
2,1557,1697.6,-237.3,450.82,551,1557
2,1571.5,1714.4,-228.59,473.46,535.92,1571.5
2,1564.1,1710.9,-260.4,544.21,641.57,1552.5
2,1563.4,1707.8,-258.31,464.37,548.44,1563.4
2,1609.1,1766.7,-243.02,477.7,539.83,1609.1
2,1528.6,1702.6,-222,531.34,621.89,1501.9
2,1147.6,1247.5,-265.25,332.73,403.47,1147.6
2,1056,1117.9,-247.24,303.8,363.5,1056
2,1564.7,1704.3,-226.2,510.06,615.24,1462.8
2,1505.4,1688.9,-227.6,427.74,520.54,1505.4
2,1448.8,1582.4,-190.83,435.75,490.32,1448.8
2,1452.8,1605.2,-181.63,507.63,592.85,1442.5
2,1489.2,1653,-198.95,443.72,505.98,1489.2
2,1485.2,1649.6,-209.9,507.13,596.44,1458.8
2,1036.2,1120.8,-214.79,286.42,349.06,1036.2
2,1383.3,1660.2,-245.5,397.91,497.44,1383.3
2,1553.8,1728.1,-219.72,440.11,531.44,1553.8
2,1490.3,1636.6,-183.55,443.84,496.85,1490.3
2,1527.2,1712,-214.64,529.62,626.24,1518.8
2,1530.2,1706.4,-189.44,448.64,510,1530.2
2,1522.1,1684.5,-200.92,520.95,606.56,1508.7
2,1562.6,1723.4,-260.6,458.26,541.7,1562.6
0,446.88,454.86,157.12,60.36,51.595,413.2
0,458.66,462.65,152.8,67.838,60.192,458.66
0,449.33,450.03,196.55,58.282,55.172,429.63
0,455.52,459.96,191.06,56.514,52.99,425.04
0,457.44,455.17,164.18,70.823,63.971,457.44
0,449.73,454.96,199.76,60.363,59.11,448.24
0,452.03,455.3,155.46,61.1,54.925,452.03
0,442.2,448.9,160.74,65.638,58.352,442.2
0,449.7,459.11,214.42,53.046,47.765,424.89
0,426.11,431.62,155.2,57.556,49.187,396.1
0,389.28,394.67,175.33,45.057,35.139,375.85
0,381.64,391.71,202.8,41.816,32.007,380.87
0,446.9,451.46,148.39,61.335,57.543,418.36
0,461.87,469.92,155.86,66.766,60.068,461.87
0,436.74,440.84,177.98,58.497,50.58,436.74
0,443.28,446.18,226.46,49.981,45.574,420.62
0,478.44,480.36,207.84,65.163,60.849,478.44
0,446.93,451.19,166.49,69.995,62.578,446.93
0,461.87,480.55,166.07,57.093,50.578,461.87
0,428.01,431.68,145.23,65.535,55.229,428.01
0,445.77,450.99,181.67,62.242,56.619,445.77
0,456.26,465,180.79,67.616,65.47,451.52
0,466.99,467.99,147.05,76.508,71.451,466.99
0,454.76,465.07,171.01,63.236,55.643,454.76
0,419.3,422.99,153.92,54.697,47.863,397.11
0,491.85,501.88,163.5,80.379,75.07,491.85
0,505.41,520.14,151.76,83.454,84.731,480.78
0,467.19,476.07,124.83,82.869,80.546,467.19
0,474.52,477.75,182.54,71.176,70.648,447.82
0,497.75,505.56,161.23,76.545,78.929,457.68
0,472.81,480.64,144.21,82.015,79.28,472.81
0,477.98,479.84,164.04,71.051,70.968,459.5
0,422.86,436.51,175.51,45.719,41.182,404.74
0,440.98,454.04,208.67,51.294,46.469,410.39
0,471.32,482.86,217.08,65.446,67.105,457.21
0,479.06,486.41,170.19,90.088,84.502,479.06
0,487.13,489.59,145.36,87.684,88.303,479.78
0,460.05,466.49,141.89,84.142,81.853,460.05
0,492.51,499.93,192.43,80.237,81.243,481.21
0,469.52,477.99,130.01,76.681,74.778,435.39
0,435.92,455.55,160.23,67.583,60.593,435.92
0,434.75,440.23,202.67,56.124,48.306,427.99
0,487.15,495.24,145.03,81.186,78.344,487.15
0,473.37,485.28,178.9,72.603,72.532,450.02
0,451.71,461.58,157.45,62.715,60.258,418.38
0,468.59,484.07,151.36,73.321,67.762,468.59
0,460.91,465.72,197.64,64.456,59.225,460.91
0,469.36,476.49,199,70.972,69.766,464.89
0,488.85,501.89,154.66,76.286,71.915,488.85
1,830.72,828.69,-108.85,252.84,296.18,794.39
1,981.74,1159.6,-181.83,273.2,375.72,892.44
1,866.76,995.92,-189.31,235.84,355.5,838.14
1,737.88,761.94,22.074,158.94,207.94,687.55
1,932.14,1080.1,-87.623,260.62,338.84,843.2
1,911.83,1040.4,-230.45,262.09,383.9,908.71
1,754.24,805.27,42.812,174.39,200.59,693.68
1,731.13,790.98,-45.134,213.52,268.5,722.53
1,895.9,1022.8,-175.19,247.56,359.49,832.39
1,841.84,980.47,-39.193,221.18,280.36,813.39
1,857.11,887.55,-16.799,236.09,300.8,778.53
1,874.47,1000.3,-164.34,259.03,344.14,849.34
1,984.85,1169.4,-145.23,260.51,344.92,954.71
1,987.04,1037,-66.057,238.74,275.87,987.04
1,720.56,757.34,-62.854,208,257.63,713.33
1,910.49,1036.1,-148.35,258.7,355.62,874.59
1,907.55,958.63,-6.4111,226.67,282.65,840.04
1,841.46,907.73,-141.84,237.52,311.98,791.36
1,904.85,1026,-128.79,265.23,370.07,866.35
2,1442.7,1566.3,-190.7,430.34,500.57,1442.7
2,1557,1697.6,-236.83,457.51,535.36,1557
2,1571.5,1714.4,-228.59,473.58,535.14,1571.5
2,1571.4,1711.7,-260.4,547.22,642.96,1552.8
2,1563.4,1707.8,-258.31,466.71,548.87,1563.4
2,1609.1,1766.7,-243.02,470.98,552.18,1609.1
2,1475.2,1591.4,-222,473.67,579.02,1318
2,1147.6,1247.5,-140.89,336.71,384.17,1147.6
2,1056,1117.9,-247.24,318.78,375.86,1056
2,1589.1,1764.9,-226.2,548.27,641.89,1576.9
2,1505.4,1688.9,-227.73,435.58,512.01,1505.4
2,1448.8,1582.4,-190.83,452.34,534.49,1448.8
2,1452.8,1589.9,-204.8,432.28,526.14,1452.8
2,1489.2,1653,-198.95,445.04,498.7,1489.2
2,1484.7,1649.5,-209.9,509.97,594.49,1466.1
2,1036.2,1120.8,-216.45,288.83,352.23,1036.2
2,1588.4,1763,-245.5,463.98,549.64,1588.4
2,1553.8,1728.1,-220.38,448.34,524.4,1553.8
2,1490.3,1636.6,-183.55,452.74,532.25,1490.3
2,1510.5,1685.5,-214.64,448.61,558.93,1510.5
2,1530.2,1706.4,-189.44,448.55,502.28,1530.2
2,1522.5,1684.5,-200.92,524.53,614.56,1508
2,1562.6,1723.4,-260.6,463.2,535.51,1562.6

1,770.45,801.95,-236.45,186.76,290.1,731.22
1,910.07,1006.1,-348.16,229.6,362,829.25
1,912.88,1029.1,-219.48,225.48,352.06,823.46
1,979.2,1137,-184.41,256.16,359.57,960.75
1,1018.7,1179.6,-139.02,303.3,387.05,998.58
1,1029.4,1217.7,-248.73,282.01,428.71,923.94
1,1034.8,1243.1,-113.29,291.76,381.91,966.06
1,978.02,1187.4,-88.452,308.47,395.44,955.91
1,1054,1241.4,-160.3,283.25,367,1054
2,1288.3,1422.7,-318.25,426.14,513.82,1288.3
2,1256.4,1361.2,-466.64,404.96,534.3,1256.4
2,1222.2,1422,-401.35,360.16,480.72,1111.5
2,1351.8,1494.9,-197.74,422.36,513.93,1351.8
2,1443.5,1571,-444.41,433.86,528.57,1443.5
2,1367.9,1550.1,-443.91,430.77,523.83,1367.9
2,1324.8,1498.7,-354.19,403.26,496.67,1324.8
2,1334.4,1522.3,-383.47,430.19,555.88,1279.1